file,species,score,identity
SiteA_20250505_064916.wav,Erithacus rubecula,0.82,TRUE
SiteA_20250425_072610.wav,Erithacus rubecula,0.27,FALSE
SiteA_20250430_055323.wav,Erithacus rubecula,0.53,TRUE
SiteA_20250428_064823.wav,Erithacus rubecula,0.91,TRUE
SiteA_20250424_080618.wav,Erithacus rubecula,0.63,TRUE
SiteA_20250501_043213.wav,Erithacus rubecula,0.82,TRUE
SiteA_20250416_074742.wav,Erithacus rubecula,0.9,TRUE
SiteA_20250429_084959.wav,Erithacus rubecula,0.33,FALSE
SiteA_20250428_073517.wav,Erithacus rubecula,0.39,FALSE
SiteA_20250430_075409.wav,Erithacus rubecula,0.46,TRUE
SiteA_20250616_084624.wav,Fringilla coelebs,0.57,TRUE
SiteA_20250611_053541.wav,Fringilla coelebs,0.87,FALSE
SiteA_20250606_090135.wav,Fringilla coelebs,0.43,TRUE
SiteA_20250624_053134.wav,Fringilla coelebs,0.5,TRUE
SiteA_20250610_084218.wav,Fringilla coelebs,0.66,TRUE
SiteA_20250609_043944.wav,Fringilla coelebs,0.22,FALSE
SiteA_20250622_085512.wav,Fringilla coelebs,0.27,FALSE
SiteA_20250604_085640.wav,Fringilla coelebs,0.23,FALSE
SiteA_20250529_085206.wav,Fringilla coelebs,0.12,FALSE
SiteA_20250607_095504.wav,Fringilla coelebs,0.8,TRUE
SiteA_20250605_045650.wav,Fringilla coelebs,0.83,TRUE
SiteA_20250620_052115.wav,Fringilla coelebs,0.27,FALSE
SiteA_20250615_050116.wav,Fringilla coelebs,0.87,TRUE
SiteA_20250618_095809.wav,Fringilla coelebs,0.53,FALSE
SiteA_20250611_040842.wav,Fringilla coelebs,0.79,TRUE
SiteA_20250607_094211.wav,Fringilla coelebs,0.73,FALSE
SiteA_20250609_083542.wav,Fringilla coelebs,0.65,TRUE
SiteA_20250609_060746.wav,Fringilla coelebs,0.76,TRUE
SiteA_20250616_070005.wav,Fringilla coelebs,0.24,TRUE
SiteA_20250619_071457.wav,Fringilla coelebs,0.42,FALSE
SiteA_20250622_071706.wav,Fringilla coelebs,0.6,TRUE
SiteA_20250606_092000.wav,Fringilla coelebs,0.35,FALSE
SiteA_20250622_054510.wav,Fringilla coelebs,0.12,FALSE
SiteA_20250617_052657.wav,Fringilla coelebs,0.37,FALSE
SiteA_20250607_054249.wav,Fringilla coelebs,0.43,TRUE
SiteA_20250611_081351.wav,Fringilla coelebs,0.25,FALSE
SiteA_20250623_054632.wav,Fringilla coelebs,0.31,FALSE
SiteA_20250612_093427.wav,Fringilla coelebs,0.2,FALSE
SiteA_20250523_094829.wav,Fringilla coelebs,0.89,TRUE
SiteA_20250528_073322.wav,Fringilla coelebs,0.92,TRUE
SiteA_20250624_055532.wav,Fringilla coelebs,0.51,TRUE
SiteA_20250601_090405.wav,Fringilla coelebs,0.49,TRUE
SiteA_20250626_040115.wav,Fringilla coelebs,0.35,FALSE
SiteA_20250626_092331.wav,Fringilla coelebs,0.36,TRUE
SiteA_20250620_043137.wav,Fringilla coelebs,0.3,FALSE
SiteA_20250628_041829.wav,Fringilla coelebs,0.42,FALSE
SiteA_20250612_045243.wav,Fringilla coelebs,0.95,TRUE
SiteA_20250616_044613.wav,Fringilla coelebs,0.64,TRUE
SiteA_20250621_070923.wav,Fringilla coelebs,0.2,FALSE
SiteA_20250627_052728.wav,Fringilla coelebs,0.89,TRUE
SiteA_20250612_053616.wav,Fringilla coelebs,0.33,FALSE
SiteA_20250612_043716.wav,Fringilla coelebs,0.77,TRUE
SiteA_20250618_090116.wav,Fringilla coelebs,0.92,TRUE
SiteA_20250603_042209.wav,Fringilla coelebs,0.58,TRUE
SiteA_20250622_075354.wav,Fringilla coelebs,0.8,FALSE
SiteA_20250627_044505.wav,Fringilla coelebs,0.86,TRUE
SiteA_20250626_080450.wav,Fringilla coelebs,0.75,FALSE
SiteA_20250629_042845.wav,Fringilla coelebs,0.83,TRUE
SiteA_20250626_091733.wav,Fringilla coelebs,0.32,FALSE
SiteA_20250608_065409.wav,Fringilla coelebs,0.99,TRUE
SiteA_20250528_072007.wav,Fringilla coelebs,0.53,TRUE
SiteA_20250618_050122.wav,Fringilla coelebs,0.59,TRUE
SiteA_20250522_083821.wav,Fringilla coelebs,0.46,TRUE
SiteA_20250612_081115.wav,Fringilla coelebs,0.37,TRUE
SiteA_20250609_065204.wav,Fringilla coelebs,0.6,TRUE
SiteA_20250602_041145.wav,Fringilla coelebs,0.12,TRUE
SiteA_20250602_050200.wav,Fringilla coelebs,0.65,TRUE
SiteA_20250508_074120.wav,Fringilla coelebs,0.56,TRUE
SiteA_20250519_083946.wav,Fringilla coelebs,0.17,FALSE
SiteA_20250627_070037.wav,Fringilla coelebs,0.98,TRUE
SiteA_20250629_062424.wav,Fringilla coelebs,0.78,TRUE
SiteA_20250503_055946.wav,Fringilla coelebs,0.52,FALSE
SiteA_20250516_064818.wav,Fringilla coelebs,0.34,FALSE
SiteA_20250630_051743.wav,Fringilla coelebs,0.99,TRUE
SiteA_20250624_064531.wav,Fringilla coelebs,0.23,FALSE
SiteA_20250614_061458.wav,Fringilla coelebs,0.15,FALSE
SiteA_20250528_061727.wav,Fringilla coelebs,0.61,TRUE
SiteA_20250612_092407.wav,Fringilla coelebs,0.48,FALSE
SiteA_20250529_073839.wav,Fringilla coelebs,0.57,TRUE
SiteA_20250609_042007.wav,Fringilla coelebs,0.34,TRUE
SiteA_20250530_082847.wav,Fringilla coelebs,0.96,TRUE
SiteA_20250623_065625.wav,Fringilla coelebs,0.39,TRUE
SiteA_20250613_042826.wav,Fringilla coelebs,0.82,TRUE
SiteA_20250617_052844.wav,Fringilla coelebs,0.6,FALSE
SiteA_20250627_041356.wav,Fringilla coelebs,0.61,TRUE
SiteA_20250612_065447.wav,Fringilla coelebs,0.71,TRUE
SiteA_20250618_051423.wav,Fringilla coelebs,0.66,FALSE
SiteA_20250524_044257.wav,Fringilla coelebs,0.9,TRUE
SiteA_20250622_073639.wav,Fringilla coelebs,0.41,TRUE
SiteA_20250609_052639.wav,Fringilla coelebs,0.31,FALSE
SiteA_20250528_082506.wav,Fringilla coelebs,0.76,TRUE
SiteA_20250526_065632.wav,Fringilla coelebs,0.91,TRUE
SiteA_20250619_081422.wav,Fringilla coelebs,0.51,FALSE
SiteA_20250617_045825.wav,Fringilla coelebs,0.41,FALSE
SiteA_20250617_041416.wav,Fringilla coelebs,0.14,FALSE
SiteA_20250623_055512.wav,Fringilla coelebs,0.46,FALSE
SiteA_20250601_042336.wav,Fringilla coelebs,0.27,FALSE
SiteA_20250622_062147.wav,Fringilla coelebs,0.56,TRUE
SiteA_20250520_095250.wav,Phylloscopus trochilus,0.91,TRUE
SiteA_20250515_095828.wav,Phylloscopus trochilus,0.78,TRUE
SiteA_20250422_040837.wav,Phylloscopus trochilus,0.9,TRUE
SiteA_20250606_080722.wav,Phylloscopus trochilus,0.3,FALSE
SiteA_20250425_065924.wav,Phylloscopus trochilus,0.5,TRUE
SiteA_20250515_092338.wav,Phylloscopus trochilus,0.74,TRUE
SiteA_20250607_052754.wav,Phylloscopus trochilus,0.34,FALSE
SiteA_20250530_082616.wav,Phylloscopus trochilus,0.63,FALSE
SiteA_20250531_051406.wav,Phylloscopus trochilus,0.33,TRUE
SiteA_20250527_041339.wav,Phylloscopus trochilus,0.78,TRUE
SiteA_20250511_051920.wav,Phylloscopus trochilus,0.32,TRUE
SiteA_20250526_091952.wav,Phylloscopus trochilus,0.63,FALSE
SiteA_20250530_050019.wav,Phylloscopus trochilus,0.48,TRUE
SiteA_20250604_065300.wav,Phylloscopus trochilus,0.32,FALSE
SiteA_20250608_043654.wav,Phylloscopus trochilus,0.63,TRUE
SiteA_20250514_093210.wav,Phylloscopus trochilus,0.65,TRUE
SiteA_20250613_054532.wav,Phylloscopus trochilus,0.7,TRUE
SiteA_20250620_061944.wav,Phylloscopus trochilus,0.78,FALSE
SiteA_20250517_081735.wav,Phylloscopus trochilus,0.78,TRUE
SiteA_20250618_050450.wav,Phylloscopus trochilus,0.47,FALSE
SiteA_20250602_090251.wav,Phylloscopus trochilus,0.45,TRUE
SiteA_20250518_063018.wav,Phylloscopus trochilus,0.51,TRUE
SiteA_20250522_090011.wav,Phylloscopus trochilus,0.58,TRUE
SiteA_20250524_041509.wav,Phylloscopus trochilus,0.21,TRUE
SiteA_20250523_040924.wav,Phylloscopus trochilus,0.95,TRUE
SiteA_20250524_075656.wav,Phylloscopus trochilus,0.15,FALSE
SiteA_20250509_040957.wav,Phylloscopus trochilus,0.81,TRUE
SiteA_20250519_091136.wav,Phylloscopus trochilus,0.58,TRUE
SiteA_20250602_094029.wav,Phylloscopus trochilus,1,TRUE
SiteA_20250609_042107.wav,Phylloscopus trochilus,0.52,FALSE
SiteA_20250528_064751.wav,Phylloscopus trochilus,0.63,TRUE
SiteA_20250518_071847.wav,Phylloscopus trochilus,0.73,TRUE
SiteA_20250620_051934.wav,Phylloscopus trochilus,0.91,TRUE
SiteA_20250522_092057.wav,Phylloscopus trochilus,0.7,TRUE
SiteA_20250520_084409.wav,Phylloscopus trochilus,0.38,TRUE
SiteA_20250605_054119.wav,Phylloscopus trochilus,0.22,FALSE
SiteA_20250529_091028.wav,Phylloscopus trochilus,0.31,FALSE
SiteA_20250518_093111.wav,Phylloscopus trochilus,0.33,TRUE
SiteA_20250510_063505.wav,Phylloscopus trochilus,0.38,TRUE
SiteA_20250507_044425.wav,Phylloscopus trochilus,0.92,TRUE
SiteA_20250524_080755.wav,Phylloscopus trochilus,0.97,FALSE
SiteA_20250527_083120.wav,Phylloscopus trochilus,0.43,TRUE
SiteA_20250523_053909.wav,Phylloscopus trochilus,0.74,FALSE
SiteA_20250522_072346.wav,Phylloscopus trochilus,0.11,FALSE
SiteA_20250529_060923.wav,Phylloscopus trochilus,0.17,TRUE
SiteA_20250615_063048.wav,Phylloscopus trochilus,0.63,TRUE
SiteA_20250606_084607.wav,Phylloscopus trochilus,0.54,TRUE
SiteA_20250516_040528.wav,Phylloscopus trochilus,0.52,TRUE
SiteA_20250602_061519.wav,Phylloscopus trochilus,0.11,TRUE
SiteA_20250527_051841.wav,Phylloscopus trochilus,0.35,FALSE
SiteA_20250602_095811.wav,Phylloscopus trochilus,0.76,TRUE
SiteA_20250602_062603.wav,Phylloscopus trochilus,0.2,TRUE
SiteA_20250530_063102.wav,Phylloscopus trochilus,0.83,TRUE
SiteA_20250524_081508.wav,Phylloscopus trochilus,0.18,TRUE
SiteA_20250519_050036.wav,Phylloscopus trochilus,0.95,TRUE
SiteA_20250522_061247.wav,Phylloscopus trochilus,0.79,TRUE
SiteA_20250610_062425.wav,Phylloscopus trochilus,0.9,TRUE
SiteA_20250517_074754.wav,Phylloscopus trochilus,0.1,TRUE
SiteA_20250529_075723.wav,Phylloscopus trochilus,0.42,TRUE
SiteA_20250520_062511.wav,Phylloscopus trochilus,0.43,TRUE
SiteA_20250523_040816.wav,Phylloscopus trochilus,0.89,TRUE
SiteA_20250528_074059.wav,Phylloscopus trochilus,0.9,FALSE
SiteA_20250521_042522.wav,Phylloscopus trochilus,0.82,TRUE
SiteA_20250626_051627.wav,Phylloscopus trochilus,0.9,TRUE
SiteA_20250522_083558.wav,Phylloscopus trochilus,0.28,FALSE
SiteA_20250523_060341.wav,Phylloscopus trochilus,0.47,FALSE
SiteA_20250518_054747.wav,Phylloscopus trochilus,0.16,FALSE
SiteA_20250607_045835.wav,Phylloscopus trochilus,0.21,FALSE
SiteA_20250618_095802.wav,Phylloscopus trochilus,0.16,TRUE
SiteA_20250514_095419.wav,Phylloscopus trochilus,0.31,TRUE
SiteA_20250521_074349.wav,Phylloscopus trochilus,0.35,TRUE
SiteA_20250607_062619.wav,Phylloscopus trochilus,0.97,TRUE
SiteA_20250517_081331.wav,Phylloscopus trochilus,0.5,FALSE
SiteA_20250525_054103.wav,Phylloscopus trochilus,0.82,TRUE
SiteA_20250601_065028.wav,Phylloscopus trochilus,0.86,TRUE
SiteA_20250609_050338.wav,Phylloscopus trochilus,0.73,TRUE
SiteA_20250521_073825.wav,Phylloscopus trochilus,0.78,TRUE
SiteA_20250520_084945.wav,Phylloscopus trochilus,0.12,FALSE
SiteA_20250614_065423.wav,Phylloscopus trochilus,0.91,TRUE
SiteA_20250521_050323.wav,Phylloscopus trochilus,0.85,TRUE
SiteA_20250621_081239.wav,Phylloscopus trochilus,0.85,TRUE
SiteA_20250604_083734.wav,Phylloscopus trochilus,0.6,TRUE
SiteA_20250606_064753.wav,Phylloscopus trochilus,0.59,TRUE
SiteA_20250519_061057.wav,Phylloscopus trochilus,0.55,TRUE
SiteA_20250505_093324.wav,Phylloscopus trochilus,0.78,FALSE
SiteA_20250528_085555.wav,Phylloscopus trochilus,0.18,TRUE
SiteA_20250415_063005.wav,Phylloscopus trochilus,0.47,TRUE
SiteA_20250603_070022.wav,Phylloscopus trochilus,0.23,FALSE
SiteA_20250525_092824.wav,Phylloscopus trochilus,0.23,FALSE
SiteA_20250610_091530.wav,Phylloscopus trochilus,0.17,FALSE
SiteA_20250601_081204.wav,Phylloscopus trochilus,0.42,TRUE
SiteA_20250528_050636.wav,Phylloscopus trochilus,0.65,TRUE
SiteA_20250607_082902.wav,Phylloscopus trochilus,0.54,TRUE
SiteA_20250507_055351.wav,Turdus philomelos,0.73,TRUE
SiteA_20250512_080750.wav,Turdus philomelos,0.91,TRUE
SiteA_20250501_093906.wav,Turdus philomelos,0.46,TRUE
SiteA_20250518_054043.wav,Turdus philomelos,0.21,FALSE
SiteA_20250504_052842.wav,Turdus philomelos,0.78,TRUE
SiteA_20250520_091425.wav,Turdus philomelos,0.16,FALSE
SiteA_20250520_073805.wav,Turdus philomelos,0.79,TRUE
SiteA_20250513_092956.wav,Turdus philomelos,0.39,FALSE
SiteA_20250426_083323.wav,Turdus philomelos,0.32,FALSE
SiteA_20250514_055521.wav,Turdus philomelos,0.24,FALSE
SiteA_20250508_093731.wav,Turdus philomelos,0.3,TRUE
SiteA_20250501_072327.wav,Turdus philomelos,0.33,FALSE
SiteA_20250430_084025.wav,Turdus philomelos,0.73,TRUE
SiteA_20250428_050055.wav,Turdus philomelos,0.86,TRUE
SiteA_20250517_093456.wav,Turdus philomelos,0.35,FALSE
SiteA_20250506_072912.wav,Turdus philomelos,0.52,TRUE
SiteA_20250507_054338.wav,Turdus philomelos,1,TRUE
SiteA_20250521_072505.wav,Turdus philomelos,0.85,TRUE
SiteA_20250427_084538.wav,Turdus philomelos,0.47,FALSE
SiteA_20250428_040513.wav,Turdus philomelos,0.62,TRUE
SiteA_20250518_051632.wav,Turdus philomelos,0.94,TRUE
SiteA_20250521_064222.wav,Turdus philomelos,0.14,FALSE
SiteA_20250515_065454.wav,Turdus philomelos,0.25,FALSE
SiteA_20250416_063613.wav,Turdus philomelos,0.62,FALSE
SiteA_20250423_093849.wav,Turdus philomelos,0.52,FALSE
SiteA_20250508_040027.wav,Turdus philomelos,0.21,FALSE
SiteA_20250426_051932.wav,Turdus philomelos,0.45,TRUE
SiteA_20250505_074952.wav,Turdus philomelos,0.7,TRUE
SiteA_20250519_085632.wav,Turdus philomelos,0.43,FALSE
SiteA_20250503_065519.wav,Turdus philomelos,0.4,FALSE
SiteA_20250503_054017.wav,Turdus philomelos,0.12,FALSE
SiteA_20250514_053917.wav,Turdus philomelos,0.9,TRUE
SiteA_20250424_075410.wav,Turdus philomelos,0.15,FALSE
SiteA_20250507_074240.wav,Turdus philomelos,0.13,TRUE
SiteA_20250418_091513.wav,Turdus philomelos,0.78,TRUE
SiteA_20250426_075807.wav,Turdus philomelos,0.45,FALSE
SiteA_20250520_085709.wav,Turdus philomelos,0.46,TRUE
SiteA_20250509_084839.wav,Turdus philomelos,0.27,FALSE
SiteA_20250506_090603.wav,Turdus philomelos,0.74,TRUE
SiteA_20250516_073032.wav,Turdus philomelos,0.83,TRUE
SiteA_20250502_093750.wav,Turdus philomelos,0.75,TRUE
SiteA_20250428_072834.wav,Turdus philomelos,0.74,TRUE
SiteA_20250518_062430.wav,Turdus philomelos,0.38,FALSE
SiteA_20250506_094517.wav,Turdus philomelos,0.15,FALSE
SiteA_20250417_053353.wav,Turdus philomelos,0.63,TRUE
SiteA_20250505_070806.wav,Turdus philomelos,0.37,TRUE
SiteA_20250501_041936.wav,Turdus philomelos,0.49,TRUE
SiteA_20250503_081504.wav,Turdus philomelos,0.62,FALSE
SiteA_20250513_054443.wav,Turdus philomelos,0.27,FALSE
SiteA_20250519_074608.wav,Turdus philomelos,0.17,FALSE
SiteA_20250516_071345.wav,Turdus philomelos,0.9,TRUE
SiteA_20250503_065450.wav,Turdus philomelos,0.41,FALSE
SiteA_20250519_055310.wav,Turdus philomelos,0.36,FALSE
SiteA_20250424_082343.wav,Turdus philomelos,0.95,TRUE
SiteA_20250506_055350.wav,Turdus philomelos,0.54,FALSE
SiteA_20250510_054150.wav,Turdus philomelos,0.53,FALSE
SiteA_20250504_073630.wav,Turdus philomelos,0.68,TRUE
SiteA_20250513_092715.wav,Turdus philomelos,0.29,FALSE
SiteA_20250523_051338.wav,Turdus philomelos,0.9,TRUE
SiteA_20250423_061213.wav,Turdus philomelos,0.18,FALSE
SiteA_20250523_062554.wav,Turdus philomelos,0.92,TRUE
SiteA_20250513_080758.wav,Turdus philomelos,0.39,FALSE
SiteA_20250502_074519.wav,Turdus philomelos,0.33,TRUE
SiteA_20250523_055118.wav,Turdus philomelos,0.59,TRUE
SiteA_20250514_051141.wav,Turdus philomelos,0.45,FALSE
SiteA_20250506_061745.wav,Turdus philomelos,0.45,TRUE
SiteA_20250519_084901.wav,Turdus philomelos,0.43,TRUE
SiteA_20250511_082209.wav,Turdus philomelos,0.58,TRUE
SiteA_20250518_074030.wav,Turdus philomelos,0.71,TRUE
SiteA_20250428_054528.wav,Turdus philomelos,0.34,FALSE
SiteA_20250509_083103.wav,Turdus philomelos,0.39,FALSE
SiteA_20250510_055138.wav,Turdus philomelos,0.88,TRUE
SiteA_20250508_074152.wav,Turdus philomelos,0.98,TRUE
SiteB_20250629_085312.wav,Fringilla coelebs,0.81,TRUE
SiteB_20250529_094718.wav,Fringilla coelebs,0.3,FALSE
SiteB_20250628_094759.wav,Fringilla coelebs,0.24,FALSE
SiteB_20250607_085231.wav,Fringilla coelebs,0.94,TRUE
SiteB_20250614_064325.wav,Fringilla coelebs,0.7,FALSE
SiteB_20250603_061348.wav,Fringilla coelebs,0.33,TRUE
SiteB_20250610_054327.wav,Fringilla coelebs,0.6,TRUE
SiteB_20250627_091318.wav,Fringilla coelebs,0.29,FALSE
SiteB_20250609_074153.wav,Fringilla coelebs,0.94,TRUE
SiteB_20250526_041040.wav,Fringilla coelebs,0.85,TRUE
SiteB_20250616_063133.wav,Fringilla coelebs,0.93,TRUE
SiteB_20250621_074301.wav,Fringilla coelebs,0.45,TRUE
SiteB_20250603_095241.wav,Fringilla coelebs,0.2,TRUE
SiteB_20250607_072903.wav,Fringilla coelebs,0.64,TRUE
SiteB_20250624_090834.wav,Fringilla coelebs,0.44,TRUE
SiteB_20250623_083409.wav,Fringilla coelebs,0.17,TRUE
SiteB_20250612_072921.wav,Fringilla coelebs,0.51,TRUE
SiteB_20250612_081414.wav,Fringilla coelebs,0.68,TRUE
SiteB_20250523_050921.wav,Fringilla coelebs,0.38,FALSE
SiteB_20250608_045313.wav,Fringilla coelebs,0.6,FALSE
SiteB_20250529_061434.wav,Fringilla coelebs,0.21,FALSE
SiteB_20250607_050146.wav,Fringilla coelebs,0.74,TRUE
SiteB_20250613_042920.wav,Fringilla coelebs,0.71,FALSE
SiteB_20250612_042253.wav,Fringilla coelebs,0.71,TRUE
SiteB_20250604_053548.wav,Fringilla coelebs,0.13,TRUE
SiteB_20250615_050430.wav,Fringilla coelebs,0.47,TRUE
SiteB_20250623_094027.wav,Fringilla coelebs,0.85,TRUE
SiteB_20250610_094857.wav,Fringilla coelebs,0.22,TRUE
SiteB_20250613_055740.wav,Fringilla coelebs,0.13,FALSE
SiteB_20250613_062415.wav,Fringilla coelebs,0.43,TRUE
SiteB_20250629_054102.wav,Fringilla coelebs,0.96,TRUE
SiteB_20250628_072327.wav,Fringilla coelebs,0.29,FALSE
SiteB_20250623_075035.wav,Fringilla coelebs,0.72,TRUE
SiteB_20250602_085818.wav,Fringilla coelebs,0.11,FALSE
SiteB_20250616_055827.wav,Fringilla coelebs,0.38,TRUE
SiteB_20250618_083020.wav,Fringilla coelebs,0.62,FALSE
SiteB_20250611_055505.wav,Fringilla coelebs,0.97,TRUE
SiteB_20250615_073450.wav,Fringilla coelebs,1,TRUE
SiteB_20250621_055757.wav,Fringilla coelebs,0.98,TRUE
SiteB_20250608_090802.wav,Fringilla coelebs,0.2,FALSE
SiteB_20250611_064054.wav,Fringilla coelebs,0.94,TRUE
SiteB_20250618_062310.wav,Fringilla coelebs,0.72,TRUE
SiteB_20250614_091303.wav,Fringilla coelebs,0.24,TRUE
SiteB_20250627_064906.wav,Fringilla coelebs,0.79,FALSE
SiteB_20250628_055119.wav,Fringilla coelebs,0.22,TRUE
SiteB_20250611_045821.wav,Fringilla coelebs,0.5,TRUE
SiteB_20250521_042723.wav,Fringilla coelebs,0.83,TRUE
SiteB_20250622_085130.wav,Fringilla coelebs,0.6,TRUE
SiteB_20250610_042006.wav,Fringilla coelebs,0.97,TRUE
SiteB_20250601_051517.wav,Fringilla coelebs,0.84,TRUE
SiteB_20250613_085912.wav,Fringilla coelebs,0.16,FALSE
SiteB_20250629_061951.wav,Fringilla coelebs,0.39,FALSE
SiteB_20250616_043348.wav,Fringilla coelebs,0.8,TRUE
SiteB_20250508_053540.wav,Fringilla coelebs,0.12,FALSE
SiteB_20250619_080710.wav,Fringilla coelebs,0.22,FALSE
SiteB_20250618_092355.wav,Fringilla coelebs,0.18,FALSE
SiteB_20250619_073453.wav,Fringilla coelebs,0.43,TRUE
SiteB_20250611_051125.wav,Fringilla coelebs,0.55,TRUE
SiteB_20250624_095346.wav,Fringilla coelebs,0.57,TRUE
SiteB_20250618_093738.wav,Fringilla coelebs,0.47,TRUE
SiteB_20250503_070240.wav,Fringilla coelebs,0.58,TRUE
SiteB_20250530_093616.wav,Fringilla coelebs,0.33,FALSE
SiteB_20250614_090640.wav,Fringilla coelebs,0.62,TRUE
SiteB_20250628_095034.wav,Fringilla coelebs,0.42,FALSE
SiteB_20250614_094556.wav,Fringilla coelebs,0.95,TRUE
SiteB_20250530_094712.wav,Fringilla coelebs,0.69,TRUE
SiteB_20250525_060849.wav,Fringilla coelebs,0.76,TRUE
SiteB_20250602_053854.wav,Fringilla coelebs,0.31,FALSE
SiteB_20250608_072919.wav,Fringilla coelebs,0.95,TRUE
SiteB_20250619_071727.wav,Fringilla coelebs,0.47,FALSE
SiteB_20250616_054433.wav,Fringilla coelebs,0.29,TRUE
SiteB_20250615_061851.wav,Fringilla coelebs,0.52,TRUE
SiteB_20250531_084302.wav,Fringilla coelebs,0.81,TRUE
SiteB_20250630_081154.wav,Fringilla coelebs,0.22,FALSE
SiteB_20250626_095906.wav,Fringilla coelebs,0.85,TRUE
SiteB_20250524_055321.wav,Fringilla coelebs,0.51,TRUE
SiteB_20250601_090759.wav,Fringilla coelebs,0.82,TRUE
SiteB_20250614_040245.wav,Fringilla coelebs,0.86,TRUE
SiteB_20250511_063515.wav,Fringilla coelebs,0.2,TRUE
SiteB_20250607_085450.wav,Fringilla coelebs,0.18,FALSE
SiteB_20250605_050317.wav,Fringilla coelebs,0.77,TRUE
SiteB_20250530_085559.wav,Fringilla coelebs,0.55,FALSE
SiteB_20250616_085141.wav,Fringilla coelebs,0.69,TRUE
SiteB_20250527_045927.wav,Phylloscopus trochilus,0.53,TRUE
SiteB_20250607_065344.wav,Phylloscopus trochilus,0.86,TRUE
SiteB_20250527_095555.wav,Phylloscopus trochilus,0.8,TRUE
SiteB_20250522_063456.wav,Phylloscopus trochilus,0.75,TRUE
SiteB_20250502_040125.wav,Phylloscopus trochilus,0.56,TRUE
SiteB_20250521_070110.wav,Phylloscopus trochilus,0.2,FALSE
SiteB_20250624_063726.wav,Phylloscopus trochilus,0.99,TRUE
SiteB_20250619_045047.wav,Phylloscopus trochilus,0.84,TRUE
SiteB_20250621_045700.wav,Phylloscopus trochilus,0.99,TRUE
SiteB_20250513_042129.wav,Phylloscopus trochilus,0.58,FALSE
