file,species,score
SiteA_20250422_075916.wav,Erithacus rubecula,0.39
SiteA_20250423_061213.wav,Turdus philomelos,0.18
SiteA_20250423_093849.wav,Turdus philomelos,0.52
SiteA_20250423_040053.wav,Turdus philomelos,0.56
SiteA_20250423_081159.wav,Erithacus rubecula,0.54
SiteA_20250423_091625.wav,Erithacus rubecula,0.96
SiteA_20250423_092330.wav,Erithacus rubecula,0.53
SiteA_20250423_053820.wav,Erithacus rubecula,0.9
SiteA_20250423_085549.wav,Erithacus rubecula,0.92
SiteA_20250423_083504.wav,Erithacus rubecula,0.65
SiteA_20250423_065005.wav,Erithacus rubecula,0.47
SiteA_20250424_080250.wav,Turdus philomelos,0.37
SiteA_20250424_075410.wav,Turdus philomelos,0.15
SiteA_20250424_082343.wav,Turdus philomelos,0.95
SiteA_20250424_065710.wav,Turdus philomelos,0.75
SiteA_20250424_093841.wav,Turdus philomelos,0.23
SiteA_20250424_080618.wav,Erithacus rubecula,0.63
SiteA_20250424_074018.wav,Erithacus rubecula,0.46
SiteA_20250424_050713.wav,Erithacus rubecula,0.68
SiteA_20250424_091702.wav,Erithacus rubecula,0.39
SiteA_20250424_045816.wav,Erithacus rubecula,0.38
SiteA_20250424_095236.wav,Erithacus rubecula,0.3
SiteA_20250424_080554.wav,Erithacus rubecula,0.43
SiteA_20250424_082510.wav,Erithacus rubecula,0.99
SiteA_20250424_063046.wav,Erithacus rubecula,0.24
SiteA_20250424_070048.wav,Erithacus rubecula,0.18
SiteA_20250424_041255.wav,Erithacus rubecula,0.23
SiteA_20250424_050500.wav,Erithacus rubecula,0.72
SiteA_20250424_090911.wav,Erithacus rubecula,0.66
SiteA_20250424_064445.wav,Fringilla coelebs,0.71
SiteA_20250425_053514.wav,Turdus philomelos,0.57
SiteA_20250425_065216.wav,Turdus philomelos,0.69
SiteA_20250425_073506.wav,Turdus philomelos,0.84
SiteA_20250425_052727.wav,Turdus philomelos,0.81
SiteA_20250425_065924.wav,Phylloscopus trochilus,0.5
SiteA_20250425_071907.wav,Phylloscopus trochilus,0.38
SiteA_20250425_054641.wav,Erithacus rubecula,0.11
SiteA_20250425_072610.wav,Erithacus rubecula,0.27
SiteA_20250425_092349.wav,Erithacus rubecula,0.86
SiteA_20250425_052559.wav,Erithacus rubecula,0.31
SiteA_20250425_080029.wav,Erithacus rubecula,0.32
SiteA_20250425_040403.wav,Erithacus rubecula,0.17
SiteA_20250425_061633.wav,Erithacus rubecula,0.32
SiteA_20250426_065624.wav,Turdus philomelos,0.55
SiteA_20250426_075807.wav,Turdus philomelos,0.45
SiteA_20250426_083323.wav,Turdus philomelos,0.32
SiteA_20250426_070506.wav,Turdus philomelos,0.2
SiteA_20250426_051932.wav,Turdus philomelos,0.45
SiteA_20250426_073634.wav,Erithacus rubecula,0.5
SiteA_20250426_091607.wav,Erithacus rubecula,0.3
SiteA_20250426_071702.wav,Erithacus rubecula,0.55
SiteA_20250426_055521.wav,Erithacus rubecula,0.42
SiteA_20250426_085030.wav,Erithacus rubecula,0.68
SiteA_20250426_051254.wav,Erithacus rubecula,0.44
SiteA_20250427_075613.wav,Turdus philomelos,0.77
SiteA_20250427_092813.wav,Turdus philomelos,0.3
SiteA_20250427_084538.wav,Turdus philomelos,0.47
SiteA_20250427_053551.wav,Turdus philomelos,0.34
SiteA_20250427_062251.wav,Erithacus rubecula,0.88
SiteA_20250427_040128.wav,Erithacus rubecula,0.77
SiteA_20250427_052503.wav,Erithacus rubecula,0.7
SiteA_20250427_054232.wav,Erithacus rubecula,0.66
SiteA_20250427_081136.wav,Erithacus rubecula,0.44
SiteA_20250428_040513.wav,Turdus philomelos,0.62
SiteA_20250428_050055.wav,Turdus philomelos,0.86
SiteA_20250428_063600.wav,Turdus philomelos,0.38
SiteA_20250428_072834.wav,Turdus philomelos,0.74
SiteA_20250428_054528.wav,Turdus philomelos,0.34
SiteA_20250428_053920.wav,Turdus philomelos,0.63
SiteA_20250428_042149.wav,Erithacus rubecula,0.61
SiteA_20250428_044820.wav,Erithacus rubecula,0.92
SiteA_20250428_064823.wav,Erithacus rubecula,0.91
SiteA_20250428_073659.wav,Erithacus rubecula,0.35
SiteA_20250428_073517.wav,Erithacus rubecula,0.39
SiteA_20250428_093936.wav,Fringilla coelebs,0.66
SiteA_20250428_071407.wav,Fringilla coelebs,0.94
SiteA_20250429_043628.wav,Turdus philomelos,0.47
SiteA_20250429_073538.wav,Turdus philomelos,0.69
SiteA_20250429_041810.wav,Turdus philomelos,0.24
SiteA_20250429_044501.wav,Turdus philomelos,0.62
SiteA_20250429_090036.wav,Erithacus rubecula,0.64
SiteA_20250429_095013.wav,Erithacus rubecula,0.56
SiteA_20250429_062413.wav,Erithacus rubecula,0.46
SiteA_20250429_051411.wav,Erithacus rubecula,0.89
SiteA_20250429_045403.wav,Erithacus rubecula,0.43
SiteA_20250429_044907.wav,Erithacus rubecula,0.36
SiteA_20250429_055328.wav,Erithacus rubecula,0.25
SiteA_20250429_081547.wav,Erithacus rubecula,0.25
SiteA_20250429_044538.wav,Erithacus rubecula,0.53
SiteA_20250429_084959.wav,Erithacus rubecula,0.33
SiteA_20250429_081618.wav,Erithacus rubecula,0.29
SiteA_20250430_084025.wav,Turdus philomelos,0.73
SiteA_20250430_082811.wav,Turdus philomelos,0.42
SiteA_20250430_061415.wav,Erithacus rubecula,0.93
SiteA_20250430_042605.wav,Erithacus rubecula,0.35
SiteA_20250430_051052.wav,Erithacus rubecula,0.96
SiteA_20250430_062232.wav,Erithacus rubecula,0.76
SiteA_20250430_075604.wav,Erithacus rubecula,0.72
SiteA_20250430_091523.wav,Erithacus rubecula,0.15
SiteA_20250430_075409.wav,Erithacus rubecula,0.46
SiteA_20250430_055323.wav,Erithacus rubecula,0.53
SiteA_20250501_041034.wav,Turdus philomelos,0.92
SiteA_20250501_051218.wav,Turdus philomelos,0.66
SiteA_20250501_041936.wav,Turdus philomelos,0.49
SiteA_20250501_041844.wav,Turdus philomelos,0.59
SiteA_20250501_062606.wav,Turdus philomelos,0.15
SiteA_20250501_072327.wav,Turdus philomelos,0.33
SiteA_20250501_093906.wav,Turdus philomelos,0.46
SiteA_20250501_091341.wav,Erithacus rubecula,0.24
SiteA_20250501_043213.wav,Erithacus rubecula,0.82
SiteA_20250501_043252.wav,Erithacus rubecula,0.59
SiteA_20250501_065951.wav,Erithacus rubecula,0.7
SiteA_20250501_064048.wav,Erithacus rubecula,0.25
SiteA_20250501_041649.wav,Erithacus rubecula,0.67
SiteA_20250501_050946.wav,Erithacus rubecula,0.38
SiteA_20250502_072354.wav,Turdus philomelos,0.97
SiteA_20250502_084632.wav,Turdus philomelos,0.97
SiteA_20250502_093750.wav,Turdus philomelos,0.75
SiteA_20250502_074519.wav,Turdus philomelos,0.33
SiteA_20250502_082400.wav,Turdus philomelos,0.3
SiteA_20250502_075457.wav,Phylloscopus trochilus,0.34
SiteA_20250502_095936.wav,Erithacus rubecula,0.81
SiteA_20250502_051056.wav,Erithacus rubecula,0.25
SiteA_20250502_083907.wav,Erithacus rubecula,0.46
SiteA_20250502_051715.wav,Erithacus rubecula,0.52
SiteA_20250502_091518.wav,Fringilla coelebs,0.93
SiteA_20250503_093031.wav,Turdus philomelos,0.71
SiteA_20250503_040825.wav,Turdus philomelos,0.96
SiteA_20250503_090527.wav,Turdus philomelos,0.56
SiteA_20250503_081504.wav,Turdus philomelos,0.62
SiteA_20250503_065519.wav,Turdus philomelos,0.4
SiteA_20250503_065450.wav,Turdus philomelos,0.41
SiteA_20250503_054017.wav,Turdus philomelos,0.12
SiteA_20250503_095533.wav,Turdus philomelos,0.55
SiteA_20250503_073533.wav,Turdus philomelos,0.88
SiteA_20250503_074323.wav,Turdus philomelos,0.11
SiteA_20250503_071017.wav,Erithacus rubecula,0.79
SiteA_20250503_040126.wav,Erithacus rubecula,0.76
SiteA_20250503_055946.wav,Fringilla coelebs,0.52
SiteA_20250504_073630.wav,Turdus philomelos,0.68
SiteA_20250504_052842.wav,Turdus philomelos,0.78
SiteA_20250504_052736.wav,Turdus philomelos,0.22
SiteA_20250504_080843.wav,Erithacus rubecula,0.15
SiteA_20250504_060602.wav,Erithacus rubecula,0.46
SiteA_20250505_052728.wav,Turdus philomelos,0.15
SiteA_20250505_074952.wav,Turdus philomelos,0.7
SiteA_20250505_070806.wav,Turdus philomelos,0.37
SiteA_20250505_081221.wav,Turdus philomelos,0.19
SiteA_20250505_080018.wav,Turdus philomelos,0.16
SiteA_20250505_093324.wav,Phylloscopus trochilus,0.78
SiteA_20250505_055039.wav,Phylloscopus trochilus,0.83
SiteA_20250505_045750.wav,Erithacus rubecula,0.19
SiteA_20250505_080656.wav,Erithacus rubecula,0.19
SiteA_20250505_064916.wav,Erithacus rubecula,0.82
SiteA_20250505_080350.wav,Erithacus rubecula,0.81
SiteA_20250505_090906.wav,Erithacus rubecula,0.11
SiteA_20250505_064055.wav,Erithacus rubecula,0.8
SiteA_20250506_050224.wav,Turdus philomelos,0.53
SiteA_20250506_065546.wav,Turdus philomelos,0.24
SiteA_20250506_043825.wav,Turdus philomelos,0.11
SiteA_20250506_072414.wav,Turdus philomelos,0.51
SiteA_20250506_055350.wav,Turdus philomelos,0.54
SiteA_20250506_061745.wav,Turdus philomelos,0.45
SiteA_20250506_072912.wav,Turdus philomelos,0.52
SiteA_20250506_090603.wav,Turdus philomelos,0.74
SiteA_20250506_094517.wav,Turdus philomelos,0.15
SiteA_20250506_050525.wav,Phylloscopus trochilus,0.82
SiteA_20250506_075058.wav,Erithacus rubecula,0.31
SiteA_20250506_044500.wav,Erithacus rubecula,0.42
SiteA_20250506_081537.wav,Erithacus rubecula,0.87
SiteA_20250506_090109.wav,Fringilla coelebs,0.37
SiteA_20250507_055351.wav,Turdus philomelos,0.73
SiteA_20250507_092633.wav,Turdus philomelos,0.19
SiteA_20250507_074240.wav,Turdus philomelos,0.13
SiteA_20250507_054338.wav,Turdus philomelos,1
SiteA_20250507_054824.wav,Turdus philomelos,0.13
SiteA_20250507_044425.wav,Phylloscopus trochilus,0.92
SiteA_20250507_040426.wav,Erithacus rubecula,0.36
SiteA_20250507_060657.wav,Erithacus rubecula,0.76
SiteA_20250507_072637.wav,Fringilla coelebs,0.38
SiteA_20250508_064748.wav,Turdus philomelos,0.73
SiteA_20250508_052408.wav,Turdus philomelos,0.68
SiteA_20250508_091949.wav,Turdus philomelos,0.68
SiteA_20250508_074152.wav,Turdus philomelos,0.98
SiteA_20250508_061352.wav,Turdus philomelos,0.47
SiteA_20250508_040027.wav,Turdus philomelos,0.21
SiteA_20250508_060729.wav,Turdus philomelos,0.57
SiteA_20250508_093731.wav,Turdus philomelos,0.3
SiteA_20250508_074036.wav,Phylloscopus trochilus,0.43
SiteA_20250508_040014.wav,Erithacus rubecula,0.45
SiteA_20250508_060752.wav,Erithacus rubecula,0.31
SiteA_20250508_051807.wav,Erithacus rubecula,0.66
SiteA_20250508_054554.wav,Erithacus rubecula,0.22
SiteA_20250508_074120.wav,Fringilla coelebs,0.56
SiteA_20250508_081112.wav,Fringilla coelebs,0.25
SiteA_20250509_083631.wav,Turdus philomelos,0.99
SiteA_20250509_090914.wav,Turdus philomelos,0.7
SiteA_20250509_081358.wav,Turdus philomelos,0.48
SiteA_20250509_083103.wav,Turdus philomelos,0.39
SiteA_20250509_074832.wav,Turdus philomelos,0.85
SiteA_20250509_071104.wav,Turdus philomelos,0.23
SiteA_20250509_084839.wav,Turdus philomelos,0.27
SiteA_20250509_073151.wav,Turdus philomelos,0.91
SiteA_20250509_043637.wav,Turdus philomelos,0.38
SiteA_20250509_040957.wav,Phylloscopus trochilus,0.81
SiteA_20250510_054150.wav,Turdus philomelos,0.53
SiteA_20250510_075417.wav,Turdus philomelos,0.48
SiteA_20250510_090814.wav,Turdus philomelos,0.41
SiteA_20250510_055138.wav,Turdus philomelos,0.88
SiteA_20250510_074219.wav,Turdus philomelos,0.51
SiteA_20250510_092914.wav,Turdus philomelos,0.58
SiteA_20250510_084625.wav,Turdus philomelos,0.97
SiteA_20250510_081800.wav,Phylloscopus trochilus,0.29
SiteA_20250510_063505.wav,Phylloscopus trochilus,0.38
SiteA_20250510_053121.wav,Phylloscopus trochilus,0.97
SiteA_20250510_054851.wav,Erithacus rubecula,0.78
SiteA_20250511_082209.wav,Turdus philomelos,0.58
SiteA_20250511_040718.wav,Turdus philomelos,0.92
SiteA_20250511_050845.wav,Turdus philomelos,0.27
SiteA_20250511_055411.wav,Turdus philomelos,0.35
SiteA_20250511_061848.wav,Turdus philomelos,0.19
SiteA_20250511_045822.wav,Turdus philomelos,0.29
SiteA_20250511_090625.wav,Turdus philomelos,0.98
SiteA_20250511_085221.wav,Turdus philomelos,0.37
SiteA_20250511_052019.wav,Turdus philomelos,0.75
SiteA_20250511_081951.wav,Turdus philomelos,0.81
SiteA_20250511_051920.wav,Phylloscopus trochilus,0.32
SiteA_20250512_093759.wav,Turdus philomelos,0.99
SiteA_20250512_075718.wav,Turdus philomelos,0.99
SiteA_20250512_064914.wav,Turdus philomelos,0.22
SiteA_20250512_080750.wav,Turdus philomelos,0.91
SiteA_20250512_074323.wav,Turdus philomelos,0.62
SiteA_20250512_050930.wav,Phylloscopus trochilus,0.5
SiteA_20250512_043703.wav,Phylloscopus trochilus,0.74
SiteA_20250513_092956.wav,Turdus philomelos,0.39
SiteA_20250513_092027.wav,Turdus philomelos,0.85
SiteA_20250513_092715.wav,Turdus philomelos,0.29
SiteA_20250513_062612.wav,Turdus philomelos,0.55
SiteA_20250513_073748.wav,Turdus philomelos,0.35
SiteA_20250513_054443.wav,Turdus philomelos,0.27
SiteA_20250513_062015.wav,Turdus philomelos,0.96
SiteA_20250513_080758.wav,Turdus philomelos,0.39
SiteA_20250513_041651.wav,Turdus philomelos,0.53
SiteA_20250514_072541.wav,Turdus philomelos,0.39
SiteA_20250514_053917.wav,Turdus philomelos,0.9
SiteA_20250514_092650.wav,Turdus philomelos,0.66
SiteA_20250514_064329.wav,Turdus philomelos,0.37
SiteA_20250514_051141.wav,Turdus philomelos,0.45
SiteA_20250514_055521.wav,Turdus philomelos,0.24
SiteA_20250514_045947.wav,Turdus philomelos,0.88
SiteA_20250514_051506.wav,Turdus philomelos,0.96
SiteA_20250514_091558.wav,Phylloscopus trochilus,0.4
SiteA_20250514_082958.wav,Phylloscopus trochilus,1
SiteA_20250514_095419.wav,Phylloscopus trochilus,0.31
SiteA_20250514_093210.wav,Phylloscopus trochilus,0.65
SiteA_20250515_065454.wav,Turdus philomelos,0.25
SiteA_20250515_084550.wav,Turdus philomelos,0.35
SiteA_20250515_044746.wav,Turdus philomelos,0.63
SiteA_20250515_044131.wav,Phylloscopus trochilus,0.25
SiteA_20250515_054647.wav,Phylloscopus trochilus,0.88
SiteA_20250515_092338.wav,Phylloscopus trochilus,0.74
SiteA_20250515_095828.wav,Phylloscopus trochilus,0.78
SiteA_20250515_090641.wav,Phylloscopus trochilus,0.23
SiteA_20250515_083401.wav,Fringilla coelebs,0.57
SiteA_20250516_070359.wav,Turdus philomelos,0.32
SiteA_20250516_054628.wav,Turdus philomelos,0.15
SiteA_20250516_071228.wav,Turdus philomelos,0.31
SiteA_20250516_071345.wav,Turdus philomelos,0.9
SiteA_20250516_073032.wav,Turdus philomelos,0.83
SiteA_20250516_041844.wav,Phylloscopus trochilus,0.24
SiteA_20250516_064502.wav,Phylloscopus trochilus,0.21
SiteA_20250516_050015.wav,Phylloscopus trochilus,0.98
SiteA_20250516_073008.wav,Phylloscopus trochilus,0.49
SiteA_20250516_040528.wav,Phylloscopus trochilus,0.52
SiteA_20250516_064818.wav,Fringilla coelebs,0.34
SiteA_20250517_052350.wav,Turdus philomelos,0.72
SiteA_20250517_093456.wav,Turdus philomelos,0.35
SiteA_20250517_083457.wav,Turdus philomelos,0.83
SiteA_20250517_050051.wav,Turdus philomelos,0.18
SiteA_20250517_054807.wav,Phylloscopus trochilus,0.48
SiteA_20250517_081735.wav,Phylloscopus trochilus,0.78
SiteA_20250517_070848.wav,Phylloscopus trochilus,0.7
SiteA_20250517_081331.wav,Phylloscopus trochilus,0.5
SiteA_20250517_061418.wav,Phylloscopus trochilus,0.66
SiteA_20250517_074754.wav,Phylloscopus trochilus,0.1
SiteA_20250517_081206.wav,Phylloscopus trochilus,0.3
SiteA_20250518_062430.wav,Turdus philomelos,0.38
SiteA_20250518_063021.wav,Turdus philomelos,0.72
SiteA_20250518_051632.wav,Turdus philomelos,0.94
SiteA_20250518_072959.wav,Turdus philomelos,0.2
SiteA_20250518_054043.wav,Turdus philomelos,0.21
SiteA_20250518_074030.wav,Turdus philomelos,0.71
SiteA_20250518_043922.wav,Turdus philomelos,0.49
SiteA_20250518_063926.wav,Phylloscopus trochilus,0.97
SiteA_20250518_054747.wav,Phylloscopus trochilus,0.16
SiteA_20250518_063018.wav,Phylloscopus trochilus,0.51
SiteA_20250518_071847.wav,Phylloscopus trochilus,0.73
SiteA_20250518_074339.wav,Phylloscopus trochilus,0.18
SiteA_20250518_051759.wav,Phylloscopus trochilus,0.99
SiteA_20250518_093111.wav,Phylloscopus trochilus,0.33
SiteA_20250518_094953.wav,Fringilla coelebs,0.81
SiteA_20250519_084901.wav,Turdus philomelos,0.43
SiteA_20250519_055310.wav,Turdus philomelos,0.36
SiteA_20250519_074608.wav,Turdus philomelos,0.17
SiteA_20250519_085632.wav,Turdus philomelos,0.43
SiteA_20250519_091136.wav,Phylloscopus trochilus,0.58
SiteA_20250519_061057.wav,Phylloscopus trochilus,0.55
SiteA_20250519_050036.wav,Phylloscopus trochilus,0.95
SiteA_20250519_083946.wav,Fringilla coelebs,0.17
SiteA_20250520_085709.wav,Turdus philomelos,0.46
SiteA_20250520_061752.wav,Turdus philomelos,0.76
SiteA_20250520_043433.wav,Turdus philomelos,0.25
SiteA_20250520_081630.wav,Turdus philomelos,0.51
SiteA_20250520_073805.wav,Turdus philomelos,0.79
SiteA_20250520_091425.wav,Turdus philomelos,0.16
SiteA_20250520_062053.wav,Phylloscopus trochilus,0.37
SiteA_20250520_062511.wav,Phylloscopus trochilus,0.43
SiteA_20250520_084409.wav,Phylloscopus trochilus,0.38
SiteA_20250520_052035.wav,Phylloscopus trochilus,0.13
SiteA_20250520_093844.wav,Phylloscopus trochilus,0.57
SiteA_20250520_040823.wav,Phylloscopus trochilus,0.71
SiteA_20250520_095250.wav,Phylloscopus trochilus,0.91
SiteA_20250520_084945.wav,Phylloscopus trochilus,0.12
SiteA_20250520_062419.wav,Erithacus rubecula,0.37
SiteA_20250520_082313.wav,Erithacus rubecula,0.95
SiteA_20250520_065732.wav,Fringilla coelebs,0.5
SiteA_20250521_064222.wav,Turdus philomelos,0.14
SiteA_20250521_052904.wav,Turdus philomelos,0.77
SiteA_20250521_091520.wav,Turdus philomelos,0.41
SiteA_20250521_072505.wav,Turdus philomelos,0.85
SiteA_20250521_090058.wav,Turdus philomelos,0.58
SiteA_20250521_042522.wav,Phylloscopus trochilus,0.82
SiteA_20250521_094210.wav,Phylloscopus trochilus,0.18
SiteA_20250521_050323.wav,Phylloscopus trochilus,0.85
SiteA_20250521_074349.wav,Phylloscopus trochilus,0.35
SiteA_20250521_073825.wav,Phylloscopus trochilus,0.78
SiteA_20250521_052914.wav,Erithacus rubecula,0.17
SiteA_20250521_064331.wav,Fringilla coelebs,0.82
SiteA_20250521_073706.wav,Fringilla coelebs,0.45
SiteA_20250522_085100.wav,Turdus philomelos,0.28
SiteA_20250522_060347.wav,Turdus philomelos,0.61
SiteA_20250522_090047.wav,Phylloscopus trochilus,0.58
SiteA_20250522_090529.wav,Phylloscopus trochilus,0.63
SiteA_20250522_092057.wav,Phylloscopus trochilus,0.7
SiteA_20250522_090011.wav,Phylloscopus trochilus,0.58
SiteA_20250522_095503.wav,Phylloscopus trochilus,0.56
SiteA_20250522_072346.wav,Phylloscopus trochilus,0.11
SiteA_20250522_073606.wav,Phylloscopus trochilus,0.14
SiteA_20250522_083255.wav,Phylloscopus trochilus,0.94
SiteA_20250522_061247.wav,Phylloscopus trochilus,0.79
SiteA_20250522_083558.wav,Phylloscopus trochilus,0.28
SiteA_20250522_083821.wav,Fringilla coelebs,0.46
SiteA_20250523_055118.wav,Turdus philomelos,0.59
SiteA_20250523_051338.wav,Turdus philomelos,0.9
SiteA_20250523_073917.wav,Turdus philomelos,0.6
SiteA_20250523_062554.wav,Turdus philomelos,0.92
SiteA_20250523_091325.wav,Phylloscopus trochilus,0.48
SiteA_20250523_040924.wav,Phylloscopus trochilus,0.95
SiteA_20250523_053909.wav,Phylloscopus trochilus,0.74
SiteA_20250523_060341.wav,Phylloscopus trochilus,0.47
SiteA_20250523_081825.wav,Phylloscopus trochilus,0.12
SiteA_20250523_050130.wav,Phylloscopus trochilus,0.61
SiteA_20250523_095402.wav,Phylloscopus trochilus,0.54
SiteA_20250523_040816.wav,Phylloscopus trochilus,0.89
SiteA_20250523_080031.wav,Erithacus rubecula,0.87
SiteA_20250523_094829.wav,Fringilla coelebs,0.89
SiteA_20250524_061113.wav,Turdus philomelos,0.35
SiteA_20250524_084718.wav,Phylloscopus trochilus,0.98
SiteA_20250524_051847.wav,Phylloscopus trochilus,0.62
SiteA_20250524_054044.wav,Phylloscopus trochilus,0.57
SiteA_20250524_075656.wav,Phylloscopus trochilus,0.15
SiteA_20250524_080755.wav,Phylloscopus trochilus,0.97
SiteA_20250524_041509.wav,Phylloscopus trochilus,0.21
SiteA_20250524_081508.wav,Phylloscopus trochilus,0.18
SiteA_20250524_064722.wav,Phylloscopus trochilus,0.89
SiteA_20250524_044257.wav,Fringilla coelebs,0.9
SiteA_20250525_072216.wav,Phylloscopus trochilus,0.72
SiteA_20250525_041932.wav,Phylloscopus trochilus,0.3
SiteA_20250525_043616.wav,Phylloscopus trochilus,0.39
SiteA_20250525_093522.wav,Phylloscopus trochilus,0.26
SiteA_20250525_054103.wav,Phylloscopus trochilus,0.82
SiteA_20250525_092824.wav,Phylloscopus trochilus,0.23
SiteA_20250525_064622.wav,Erithacus rubecula,0.4
SiteA_20250525_060201.wav,Fringilla coelebs,0.67
SiteA_20250526_070532.wav,Phylloscopus trochilus,0.99
SiteA_20250526_091952.wav,Phylloscopus trochilus,0.63
SiteA_20250526_063115.wav,Phylloscopus trochilus,0.8
SiteA_20250526_071053.wav,Erithacus rubecula,0.78
SiteA_20250526_040955.wav,Fringilla coelebs,0.14
SiteA_20250526_065632.wav,Fringilla coelebs,0.91
SiteA_20250526_080520.wav,Fringilla coelebs,0.88
SiteA_20250526_064323.wav,Fringilla coelebs,0.8
SiteA_20250526_055938.wav,Fringilla coelebs,0.44
SiteA_20250527_051841.wav,Phylloscopus trochilus,0.35
SiteA_20250527_054529.wav,Phylloscopus trochilus,0.87
SiteA_20250527_083120.wav,Phylloscopus trochilus,0.43
SiteA_20250527_081347.wav,Phylloscopus trochilus,0.37
SiteA_20250527_041339.wav,Phylloscopus trochilus,0.78
SiteA_20250527_065817.wav,Phylloscopus trochilus,0.86
SiteA_20250527_091829.wav,Phylloscopus trochilus,0.51
SiteA_20250528_092420.wav,Phylloscopus trochilus,0.78
SiteA_20250528_081416.wav,Phylloscopus trochilus,0.84
SiteA_20250528_055137.wav,Phylloscopus trochilus,0.48
SiteA_20250528_064751.wav,Phylloscopus trochilus,0.63
SiteA_20250528_045234.wav,Phylloscopus trochilus,0.82
SiteA_20250528_074059.wav,Phylloscopus trochilus,0.9
SiteA_20250528_094206.wav,Phylloscopus trochilus,0.45
SiteA_20250528_085555.wav,Phylloscopus trochilus,0.18
SiteA_20250528_075520.wav,Phylloscopus trochilus,0.66
SiteA_20250528_042407.wav,Phylloscopus trochilus,0.77
SiteA_20250528_043628.wav,Phylloscopus trochilus,0.18
SiteA_20250528_055948.wav,Phylloscopus trochilus,0.37
SiteA_20250528_050636.wav,Phylloscopus trochilus,0.65
SiteA_20250528_072007.wav,Fringilla coelebs,0.53
SiteA_20250528_061727.wav,Fringilla coelebs,0.61
SiteA_20250528_082506.wav,Fringilla coelebs,0.76
SiteA_20250528_053420.wav,Fringilla coelebs,0.87
